 Total battles: 1410738
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Great Tusk         | 24.03370% | 678105 | 24.034% | 526116 | 23.893% | 
 | 2    | Kingambit          | 23.37135% | 659417 | 23.371% | 434772 | 19.744% | 
 | 3    | Dragapult          | 16.00652% | 451620 | 16.007% | 354143 | 16.083% | 
 | 4    | Iron Valiant       | 15.12648% | 426790 | 15.126% | 299559 | 13.604% | 
 | 5    | Raging Bolt        | 14.99775% | 423158 | 14.998% | 309895 | 14.073% | 
 | 6    | Gholdengo          | 14.94105% | 421558 | 14.941% | 318432 | 14.461% | 
 | 7    | Gliscor            | 14.33519% | 404464 | 14.335% | 342600 | 15.559% | 
 | 8    | Slowking-Galar     | 12.75279% | 359817 | 12.753% | 299749 | 13.613% | 
 | 9    | Roaring Moon       | 12.01995% | 339140 | 12.020% | 245773 | 11.161% | 
 | 10   | Volcarona          | 11.84827% | 334296 | 11.848% | 249586 | 11.335% | 
 | 11   | Dragonite          | 10.43695% | 294476 | 10.437% | 214104 |  9.723% | 
 | 12   | Hatterene          |  9.99597% | 282034 |  9.996% | 218432 |  9.920% | 
 | 13   | Gouging Fire       |  9.68050% | 273133 |  9.681% | 202835 |  9.211% | 
 | 14   | Kyurem             |  9.65924% | 272533 |  9.659% | 211887 |  9.622% | 
 | 15   | Corviknight        |  9.63457% | 271837 |  9.635% | 221149 | 10.043% | 
 | 16   | Iron Treads        |  9.37789% | 264595 |  9.378% | 220801 | 10.027% | 
 | 17   | Meowscarada        |  9.36372% | 264195 |  9.364% | 210170 |  9.545% | 
 | 18   | Ogerpon-Wellspring |  9.32416% | 263079 |  9.324% | 204475 |  9.286% | 
 | 19   | Glimmora           |  9.22889% | 260391 |  9.229% | 235994 | 10.717% | 
 | 20   | Archaludon         |  8.95847% | 252761 |  8.958% | 211316 |  9.597% | 
 | 21   | Landorus-Therian   |  8.68857% | 245146 |  8.689% | 214975 |  9.763% | 
 | 22   | Rillaboom          |  8.63725% | 243698 |  8.637% | 196367 |  8.918% | 
 | 23   | Cinderace          |  8.58604% | 242253 |  8.586% | 185985 |  8.446% | 
 | 24   | Pelipper           |  8.54539% | 241106 |  8.545% | 222491 | 10.104% | 
 | 25   | Clodsire           |  7.94517% | 224171 |  7.945% | 178078 |  8.087% | 
 | 26   | Serperior          |  7.81173% | 220406 |  7.812% | 162112 |  7.362% | 
 | 27   | Walking Wake       |  7.79953% | 220062 |  7.800% | 175044 |  7.949% | 
 | 28   | Samurott-Hisui     |  7.74687% | 218576 |  7.747% | 191282 |  8.687% | 
 | 29   | Torkoal            |  7.69051% | 216986 |  7.691% | 198127 |  8.998% | 
 | 30   | Barraskewda        |  6.98053% | 196954 |  6.981% | 153199 |  6.957% | 
 | 31   | Skarmory           |  6.79361% | 191680 |  6.794% | 163140 |  7.409% | 
 | 32   | Clefable           |  6.57241% | 185439 |  6.572% | 146447 |  6.651% | 
 | 33   | Primarina          |  6.14611% | 173411 |  6.146% | 143096 |  6.498% | 
 | 34   | Enamorus           |  5.73771% | 161888 |  5.738% | 121758 |  5.529% | 
 | 35   | Zamazenta          |  5.67387% | 160087 |  5.674% | 116534 |  5.292% | 
 | 36   | Iron Boulder       |  5.54040% | 156321 |  5.540% | 105466 |  4.790% | 
 | 37   | Skeledirge         |  5.43907% | 153462 |  5.439% | 119213 |  5.414% | 
 | 38   | Deoxys-Speed       |  5.37949% | 151781 |  5.379% | 130065 |  5.907% | 
 | 39   | Heatran            |  5.36428% | 151352 |  5.364% | 125062 |  5.679% | 
 | 40   | Dondozo            |  5.09652% | 143797 |  5.097% | 106373 |  4.831% | 
 | 41   | Ting-Lu            |  5.01348% | 141454 |  5.013% | 121920 |  5.537% | 
 | 42   | Weavile            |  4.88882% | 137937 |  4.889% | 106134 |  4.820% | 
 | 43   | Darkrai            |  4.75588% | 134186 |  4.756% | 103450 |  4.698% | 
 | 44   | Excadrill          |  4.73387% | 133565 |  4.734% | 103785 |  4.713% | 
 | 45   | Alomomola          |  4.65646% | 131381 |  4.656% | 103398 |  4.696% | 
 | 46   | Scizor             |  3.58958% | 101279 |  3.590% | 81395  |  3.696% | 
 | 47   | Garganacl          |  3.48116% | 98220  |  3.481% | 77142  |  3.503% | 
 | 48   | Greninja           |  3.37891% | 95335  |  3.379% | 72779  |  3.305% | 
 | 49   | Ribombee           |  3.30462% | 93239  |  3.305% | 85447  |  3.880% | 
 | 50   | Ceruledge          |  3.24681% | 91608  |  3.247% | 70654  |  3.209% | 
 | 51   | Ninetales-Alola    |  3.20024% | 90294  |  3.200% | 78387  |  3.560% | 
 | 52   | Blissey            |  3.15898% | 89130  |  3.159% | 70611  |  3.207% | 
 | 53   | Tyranitar          |  3.13379% | 88419  |  3.134% | 75987  |  3.451% | 
 | 54   | Toxapex            |  3.12882% | 88279  |  3.129% | 71137  |  3.231% | 
 | 55   | Garchomp           |  3.02126% | 85244  |  3.021% | 67447  |  3.063% | 
 | 56   | Zapdos             |  2.95321% | 83324  |  2.953% | 67474  |  3.064% | 
 | 57   | Pecharunt          |  2.90695% | 82019  |  2.907% | 62737  |  2.849% | 
 | 58   | Iron Moth          |  2.80438% | 79125  |  2.804% | 59889  |  2.720% | 
 | 59   | Blaziken           |  2.75469% | 77723  |  2.755% | 56879  |  2.583% | 
 | 60   | Rotom-Wash         |  2.57932% | 72775  |  2.579% | 62975  |  2.860% | 
 | 61   | Hydrapple          |  2.24446% | 63327  |  2.244% | 46015  |  2.090% | 
 | 62   | Ursaluna           |  2.18244% | 61577  |  2.182% | 49662  |  2.255% | 
 | 63   | Latios             |  2.17851% | 61466  |  2.179% | 48141  |  2.186% | 
 | 64   | Latias             |  2.17103% | 61255  |  2.171% | 44178  |  2.006% | 
 | 65   | Hawlucha           |  2.09181% | 59020  |  2.092% | 42112  |  1.912% | 
 | 66   | Venusaur           |  1.97294% | 55666  |  1.973% | 42890  |  1.948% | 
 | 67   | Quaquaval          |  1.83163% | 51679  |  1.832% | 40220  |  1.827% | 
 | 68   | Iron Hands         |  1.79190% | 50558  |  1.792% | 39790  |  1.807% | 
 | 69   | Goodra-Hisui       |  1.76656% | 49843  |  1.767% | 40262  |  1.828% | 
 | 70   | Iron Crown         |  1.75763% | 49591  |  1.758% | 38349  |  1.742% | 
 | 71   | Grimmsnarl         |  1.75635% | 49555  |  1.756% | 43393  |  1.971% | 
 | 72   | Keldeo             |  1.57368% | 44401  |  1.574% | 35955  |  1.633% | 
 | 73   | Metagross          |  1.49900% | 42294  |  1.499% | 33166  |  1.506% | 
 | 74   | Lilligant-Hisui    |  1.49836% | 42276  |  1.498% | 31447  |  1.428% | 
 | 75   | Azumarill          |  1.49542% | 42193  |  1.495% | 33607  |  1.526% | 
 | 76   | Maushold           |  1.43652% | 40531  |  1.437% | 30330  |  1.377% | 
 | 77   | Weezing-Galar      |  1.41359% | 39884  |  1.414% | 32711  |  1.486% | 
 | 78   | Hoopa-Unbound      |  1.40820% | 39732  |  1.408% | 30734  |  1.396% | 
 | 79   | Araquanid          |  1.38810% | 39165  |  1.388% | 34435  |  1.564% | 
 | 80   | Gengar             |  1.28220% | 36177  |  1.282% | 27369  |  1.243% | 
 | 81   | Tentacruel         |  1.26742% | 35760  |  1.267% | 29506  |  1.340% | 
 | 82   | Arcanine-Hisui     |  1.22174% | 34471  |  1.222% | 26322  |  1.195% | 
 | 83   | Mandibuzz          |  1.20246% | 33927  |  1.202% | 27056  |  1.229% | 
 | 84   | Sandy Shocks       |  1.19416% | 33693  |  1.194% | 27594  |  1.253% | 
 | 85   | Incineroar         |  1.17024% | 33018  |  1.170% | 27345  |  1.242% | 
 | 86   | Galvantula         |  1.16166% | 32776  |  1.162% | 28666  |  1.302% | 
 | 87   | Volcanion          |  1.14582% | 32329  |  1.146% | 26665  |  1.211% | 
 | 88   | Blastoise          |  1.13877% | 32130  |  1.139% | 24246  |  1.101% | 
 | 89   | Kingdra            |  1.13416% | 32000  |  1.134% | 23953  |  1.088% | 
 | 90   | Zoroark-Hisui      |  1.12657% | 31786  |  1.127% | 12719  |  0.578% | 
 | 91   | Tornadus-Therian   |  1.11101% | 31347  |  1.111% | 25748  |  1.169% | 
 | 92   | Mimikyu            |  1.07586% | 30355  |  1.076% | 22307  |  1.013% | 
 | 93   | Lokix              |  1.07181% | 30241  |  1.072% | 23974  |  1.089% | 
 | 94   | Thundurus-Therian  |  1.06062% | 29925  |  1.061% | 23771  |  1.080% | 
 | 95   | Amoonguss          |  1.00848% | 28454  |  1.008% | 22091  |  1.003% | 
 | 96   | Gyarados           |  0.97229% | 27433  |  0.972% | 21463  |  0.975% | 
 | 97   | Deoxys-Defense     |  0.97169% | 27416  |  0.972% | 22744  |  1.033% | 
 | 98   | Kommo-o            |  0.95854% | 27045  |  0.959% | 19225  |  0.873% | 
 | 99   | Ogerpon-Cornerstone |  0.92512% | 26102  |  0.925% | 20533  |  0.932% | 
 | 100  | Sinistcha          |  0.90424% | 25513  |  0.904% | 19071  |  0.866% | 
 | 101  | Ditto              |  0.89294% | 25194  |  0.893% | 18560  |  0.843% | 
 | 102  | Magnezone          |  0.87947% | 24814  |  0.879% | 19595  |  0.890% | 
 | 103  | Indeedee           |  0.87809% | 24775  |  0.878% | 20815  |  0.945% | 
 | 104  | Porygon-Z          |  0.87685% | 24740  |  0.877% | 18419  |  0.836% | 
 | 105  | Mamoswine          |  0.83329% | 23511  |  0.833% | 18794  |  0.853% | 
 | 106  | Cinccino           |  0.83077% | 23440  |  0.831% | 16978  |  0.771% | 
 | 107  | Espeon             |  0.81677% | 23045  |  0.817% | 17613  |  0.800% | 
 | 108  | Hydreigon          |  0.80646% | 22754  |  0.806% | 17553  |  0.797% | 
 | 109  | Manaphy            |  0.80348% | 22670  |  0.803% | 17556  |  0.797% | 
 | 110  | Moltres            |  0.79933% | 22553  |  0.799% | 18921  |  0.859% | 
 | 111  | Cresselia          |  0.79391% | 22400  |  0.794% | 16887  |  0.767% | 
 | 112  | Jirachi            |  0.79299% | 22374  |  0.793% | 17632  |  0.801% | 
 | 113  | Breloom            |  0.78455% | 22136  |  0.785% | 16804  |  0.763% | 
 | 114  | Comfey             |  0.76935% | 21707  |  0.769% | 15970  |  0.725% | 
 | 115  | Empoleon           |  0.75514% | 21306  |  0.755% | 17062  |  0.775% | 
 | 116  | Swampert           |  0.73146% | 20638  |  0.731% | 17156  |  0.779% | 
 | 117  | Kleavor            |  0.73072% | 20617  |  0.731% | 18116  |  0.823% | 
 | 118  | Cloyster           |  0.72260% | 20388  |  0.723% | 15582  |  0.708% | 
 | 119  | Salamence          |  0.72129% | 20351  |  0.721% | 14780  |  0.671% | 
 | 120  | Gastrodon          |  0.71105% | 20062  |  0.711% | 15920  |  0.723% | 
 | 121  | Infernape          |  0.71098% | 20060  |  0.711% | 15207  |  0.691% | 
 | 122  | Charizard          |  0.70896% | 20003  |  0.709% | 15104  |  0.686% | 
 | 123  | Talonflame         |  0.70601% | 19920  |  0.706% | 15133  |  0.687% | 
 | 124  | Polteageist        |  0.70194% | 19805  |  0.702% | 14703  |  0.668% | 
 | 125  | Milotic            |  0.70141% | 19790  |  0.701% | 15241  |  0.692% | 
 | 126  | Conkeldurr         |  0.68535% | 19337  |  0.685% | 15218  |  0.691% | 
 | 127  | Haxorus            |  0.66079% | 18644  |  0.661% | 13296  |  0.604% | 
 | 128  | Feraligatr         |  0.64098% | 18085  |  0.641% | 13153  |  0.597% | 
 | 129  | Armarouge          |  0.63977% | 18051  |  0.640% | 13405  |  0.609% | 
