Rank,Pokemon,Usage %,Raw Count,Raw %,Real Count,Real %,Generation
1,Great Tusk,28.01464,563831,28.015,444704,27.863,9
2,Kingambit,20.47798,412146,20.478,279368,17.504,9
3,Gholdengo,19.28139,388063,19.281,295979,18.544,9
4,Iron Valiant,16.16770,325396,16.168,238748,14.959,9
5,Dragapult,16.13406,324719,16.134,254706,15.958,8
6,Dragonite,14.02041,282179,14.020,207953,13.029,1
7,Gliscor,12.59541,253499,12.595,212334,13.304,4
8,Iron Moth,12.42697,250109,12.427,193102,12.099,9
9,Ogerpon-Wellspring,12.38340,249232,12.383,200579,12.567,9
10,Slowking-Galar,12.30330,247620,12.303,207269,12.986,8
11,Raging Bolt,11.94099,240328,11.941,183000,11.466,9
12,Landorus-Therian,11.73261,236134,11.733,209120,13.102,5
13,Roaring Moon,11.44388,230323,11.444,167890,10.519,9
14,Zamazenta,11.33522,228136,11.335,169969,10.649,8
15,Corviknight,11.17036,224818,11.170,185548,11.625,8
16,Samurott-Hisui,10.65024,214350,10.650,191903,12.024,8
17,Ting-Lu,9.54507,192107,9.545,167036,10.465,9
18,Cinderace,9.45514,190297,9.455,150749,9.445,8
19,Darkrai,8.49138,170900,8.491,133028,8.335,4
20,Kyurem,8.48780,170828,8.488,134806,8.446,5
21,Meowscarada,8.14342,163897,8.143,133903,8.390,9
22,Hatterene,8.00251,161061,8.003,126673,7.937,8
23,Glimmora,7.91338,159267,7.913,141862,8.888,9
24,Pecharunt,7.75195,156018,7.752,128072,8.024,9
25,Iron Treads,7.60115,152983,7.601,126690,7.938,9
26,Alomomola,7.19914,144892,7.199,119451,7.484,5
27,Zapdos,6.99627,140809,6.996,119289,7.474,8
28,Primarina,6.89655,138802,6.897,113777,7.129,7
29,Garganacl,6.65731,133987,6.657,106146,6.650,9
30,Araquanid,6.63227,133483,6.632,122919,7.701,7
31,Moltres,6.46254,130067,6.463,109732,6.875,8
32,Rillaboom,5.94560,119663,5.946,97415,6.103,8
33,Walking Wake,5.84216,117581,5.842,94499,5.921,9
