Rank,Pokemon,Usage %,Raw Count,Raw %,Real Count,Real %,Generation,Source File
1,Great Tusk,39.5241,1159071,39.524,900731,39.379,9,2023-02-pokemon_usage_stats_with_gen.csv
2,Gholdengo,32.66727,957990,32.667,723768,31.642,9,2023-02-pokemon_usage_stats_with_gen.csv
3,Rotom-Wash,18.89184,554016,18.892,481002,21.029,4,2023-02-pokemon_usage_stats_with_gen.csv
4,Iron Valiant,18.49393,542347,18.494,384070,16.791,9,2023-02-pokemon_usage_stats_with_gen.csv
5,Dragapult,17.86421,523880,17.864,412665,18.041,8,2023-02-pokemon_usage_stats_with_gen.csv
6,Garganacl,17.36884,509353,17.369,394517,17.248,9,2023-02-pokemon_usage_stats_with_gen.csv
7,Meowscarada,17.33648,508404,17.336,413283,18.068,9,2023-02-pokemon_usage_stats_with_gen.csv
8,Kingambit,16.82055,493274,16.821,347250,15.181,9,2023-02-pokemon_usage_stats_with_gen.csv
9,Corviknight,16.77407,491911,16.774,398621,17.427,8,2023-02-pokemon_usage_stats_with_gen.csv
10,Dragonite,16.7204,490337,16.72,354569,15.501,1,2023-02-pokemon_usage_stats_with_gen.csv
11,Skeledirge,14.38838,421949,14.388,326134,14.258,9,2023-02-pokemon_usage_stats_with_gen.csv
12,Glimmora,13.69902,401733,13.699,356527,15.587,9,2023-02-pokemon_usage_stats_with_gen.csv
13,Volcarona,13.45186,394485,13.452,294150,12.86,5,2023-02-pokemon_usage_stats_with_gen.csv
14,Clodsire,12.82446,376086,12.824,305966,13.377,9,2023-02-pokemon_usage_stats_with_gen.csv
15,Hatterene,12.72066,373042,12.721,283760,12.406,8,2023-02-pokemon_usage_stats_with_gen.csv
16,Roaring Moon,12.51818,367104,12.518,267026,11.674,9,2023-02-pokemon_usage_stats_with_gen.csv
17,Chien-Pao,12.02594,352669,12.026,257059,11.238,9,2023-02-pokemon_usage_stats_with_gen.csv
18,Greninja,11.61187,340526,11.612,273907,11.975,7,2023-02-pokemon_usage_stats_with_gen.csv
19,Garchomp,11.18525,328015,11.185,272424,11.91,6,2023-02-pokemon_usage_stats_with_gen.csv
20,Cinderace,11.06293,324428,11.063,248619,10.869,8,2023-02-pokemon_usage_stats_with_gen.csv
21,Amoonguss,9.88666,289933,9.887,233357,10.202,5,2023-02-pokemon_usage_stats_with_gen.csv
22,Breloom,9.76339,286318,9.763,224307,9.806,3,2023-02-pokemon_usage_stats_with_gen.csv
23,Ting-Lu,9.59487,281376,9.595,239034,10.45,9,2023-02-pokemon_usage_stats_with_gen.csv
24,Ceruledge,9.50017,278599,9.5,209701,9.168,9,2023-02-pokemon_usage_stats_with_gen.csv
25,Iron Moth,9.32408,273435,9.324,209031,9.139,9,2023-02-pokemon_usage_stats_with_gen.csv
26,Quaquaval,9.32347,273417,9.323,207045,9.052,9,2023-02-pokemon_usage_stats_with_gen.csv
27,Orthworm,8.64338,253473,8.643,219179,9.582,9,2023-02-pokemon_usage_stats_with_gen.csv
28,Baxcalibur,7.9,231673,7.9,175125,7.656,9,2023-02-pokemon_usage_stats_with_gen.csv
29,Toxapex,7.63437,223883,7.634,182834,7.993,7,2023-02-pokemon_usage_stats_with_gen.csv
30,Dondozo,7.57473,222134,7.575,170189,7.44,9,2023-02-pokemon_usage_stats_with_gen.csv
31,Scizor,7.24089,212344,7.241,167846,7.338,6,2023-02-pokemon_usage_stats_with_gen.csv
32,Torkoal,7.01522,205726,7.015,185208,8.097,3,2023-02-pokemon_usage_stats_with_gen.csv
33,Iron Treads,6.7937,199230,6.794,157616,6.891,9,2023-02-pokemon_usage_stats_with_gen.csv
34,Azumarill,6.62389,194250,6.624,155474,6.797,2,2023-02-pokemon_usage_stats_with_gen.csv
35,Grimmsnarl,6.50369,190725,6.504,164812,7.205,8,2023-02-pokemon_usage_stats_with_gen.csv
36,Pelipper,6.27082,183896,6.271,170224,7.442,3,2023-02-pokemon_usage_stats_with_gen.csv
37,Espathra,4.51059,132276,4.511,94903,4.149,9,2023-02-pokemon_usage_stats_with_gen.csv
38,Walking Wake,3.93969,115534,3.94,97329,4.255,9,2023-02-pokemon_usage_stats_with_gen.csv
39,Hydreigon,3.62553,106321,3.626,84157,3.679,5,2023-02-pokemon_usage_stats_with_gen.csv
40,Floatzel,3.48807,102290,3.488,81282,3.554,4,2023-02-pokemon_usage_stats_with_gen.csv
41,Armarouge,2.94268,86296,2.943,65091,2.846,9,2023-02-pokemon_usage_stats_with_gen.csv
42,Pawmot,2.77825,81474,2.778,56679,2.478,9,2023-02-pokemon_usage_stats_with_gen.csv
43,Iron Hands,2.64833,77664,2.648,59565,2.604,9,2023-02-pokemon_usage_stats_with_gen.csv
44,Lokix,2.6383,77370,2.638,61204,2.676,9,2023-02-pokemon_usage_stats_with_gen.csv
45,Sandy Shocks,2.53651,74385,2.537,61389,2.684,9,2023-02-pokemon_usage_stats_with_gen.csv
46,Slowking,2.51166,73656,2.512,61124,2.672,8,2023-02-pokemon_usage_stats_with_gen.csv
47,Toedscruel,2.4974,73238,2.497,61008,2.667,9,2023-02-pokemon_usage_stats_with_gen.csv
48,Maushold,2.38249,69868,2.382,50217,2.195,9,2023-02-pokemon_usage_stats_with_gen.csv
49,Kilowattrel,2.26375,66386,2.264,52485,2.295,9,2023-02-pokemon_usage_stats_with_gen.csv
50,Polteageist,2.25635,66169,2.256,50110,2.191,8,2023-02-pokemon_usage_stats_with_gen.csv
51,Scream Tail,2.03617,59712,2.036,48393,2.116,9,2023-02-pokemon_usage_stats_with_gen.csv
52,Gengar,1.93363,56705,1.934,43179,1.888,6,2023-02-pokemon_usage_stats_with_gen.csv
53,Slither Wing,1.90379,55830,1.904,43314,1.894,9,2023-02-pokemon_usage_stats_with_gen.csv
54,Tyranitar,1.85551,54414,1.856,42361,1.852,6,2023-02-pokemon_usage_stats_with_gen.csv
55,Gallade,1.78226,52266,1.782,38936,1.702,6,2023-02-pokemon_usage_stats_with_gen.csv
56,Magnezone,1.76398,51730,1.764,40930,1.789,4,2023-02-pokemon_usage_stats_with_gen.csv
57,Tinkaton,1.74393,51142,1.744,40957,1.791,9,2023-02-pokemon_usage_stats_with_gen.csv
58,Indeedee,1.68446,49398,1.684,44349,1.939,8,2023-02-pokemon_usage_stats_with_gen.csv
59,Mimikyu,1.6104,47226,1.61,34978,1.529,7,2023-02-pokemon_usage_stats_with_gen.csv
60,Zoroark-Hisui,1.58663,46529,1.587,17857,0.781,8,2023-02-pokemon_usage_stats_with_gen.csv
61,Haxorus,1.53251,44942,1.533,31807,1.391,5,2023-02-pokemon_usage_stats_with_gen.csv
62,Brute Bonnet,1.49381,43807,1.494,34268,1.498,9,2023-02-pokemon_usage_stats_with_gen.csv
63,Masquerain,1.48327,43498,1.483,40177,1.756,3,2023-02-pokemon_usage_stats_with_gen.csv
64,Iron Jugulis,1.48276,43483,1.483,34744,1.519,9,2023-02-pokemon_usage_stats_with_gen.csv
65,Talonflame,1.43519,42088,1.435,33741,1.475,6,2023-02-pokemon_usage_stats_with_gen.csv
66,Tauros-Paldea-Aqua,1.40747,41275,1.407,33125,1.448,9,2023-02-pokemon_usage_stats_with_gen.csv
67,Blissey,1.40205,41116,1.402,32236,1.409,2,2023-02-pokemon_usage_stats_with_gen.csv
68,Ditto,1.38994,40761,1.39,29189,1.276,1,2023-02-pokemon_usage_stats_with_gen.csv
69,Arboliva,1.37981,40464,1.38,31276,1.367,9,2023-02-pokemon_usage_stats_with_gen.csv
70,Barraskewda,1.3586,39842,1.359,30443,1.331,8,2023-02-pokemon_usage_stats_with_gen.csv
71,Gastrodon,1.33436,39131,1.334,31520,1.378,4,2023-02-pokemon_usage_stats_with_gen.csv
72,Gyarados,1.29494,37975,1.295,29672,1.297,6,2023-02-pokemon_usage_stats_with_gen.csv
73,Charizard,1.27434,37371,1.274,28503,1.246,6,2023-02-pokemon_usage_stats_with_gen.csv
74,Espeon,1.23857,36322,1.239,28250,1.235,2,2023-02-pokemon_usage_stats_with_gen.csv
75,Scovillain,1.23312,36162,1.233,27380,1.197,9,2023-02-pokemon_usage_stats_with_gen.csv
76,Cloyster,1.16679,34217,1.167,25044,1.095,1,2023-02-pokemon_usage_stats_with_gen.csv
77,Salamence,1.14828,33674,1.148,26198,1.145,6,2023-02-pokemon_usage_stats_with_gen.csv
78,Wo-Chien,1.11581,32722,1.116,26381,1.153,9,2023-02-pokemon_usage_stats_with_gen.csv
79,Iron Leaves,1.10333,32356,1.103,24875,1.088,9,2023-02-pokemon_usage_stats_with_gen.csv
80,Hawlucha,1.09106,31996,1.091,23228,1.016,6,2023-02-pokemon_usage_stats_with_gen.csv
81,Noivern,1.04485,30641,1.045,23510,1.028,6,2023-02-pokemon_usage_stats_with_gen.csv
82,Tauros-Paldea-Blaze,1.0308,30229,1.031,23997,1.049,9,2023-02-pokemon_usage_stats_with_gen.csv
